name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Martin Mulligan,AUS,1969,13,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Martin_Mulligan_1968.jpg/330px-Martin_Mulligan_1968.jpg
Manuel Orantes,ESP,1969,16,6,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Manuel_Orantes_c1974.jpg/330px-Manuel_Orantes_c1974.jpg
Barry Phillips Moore,AUS,1969,9,7,0,0,https://upload.wikimedia.org/wikipedia/commons/5/59/Barry_Phillips-Moore_1970.jpg
Nicola Pietrangeli,ITA,1969,12,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Nicola_Pietrangeli_cropped.jpg/330px-Nicola_Pietrangeli_cropped.jpg
Manuel Santana,ESP,1969,22,5,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/MSantana.jpg/330px-MSantana.jpg
Jan Kukal,CZE,1969,10,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Jan_Kukal_2013.JPG/330px-Jan_Kukal_2013.JPG
Thomas Lejus,RUS,1969,10,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Toomas_Leius.jpg/330px-Toomas_Leius.jpg
Jan Kodes,CZE,1969,24,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jan_Kode%C5%A1.JPG/330px-Jan_Kode%C5%A1.JPG
Milan Holecek,CZE,1969,7,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Milan_Hole%C4%8Dek_1969.jpg/330px-Milan_Hole%C4%8Dek_1969.jpg
Bob Hewitt,RSA,1969,13,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bob_Hewitt_%281967%29.jpg/330px-Bob_Hewitt_%281967%29.jpg
Francois Jauffret,FRA,1969,14,6,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jaciffret_in_aktie%2C_Bestanddeelnr_928-0518.jpg/330px-Jaciffret_in_aktie%2C_Bestanddeelnr_928-0518.jpg
Jan Kukal,CZE,1970,9,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Jan_Kukal_2013.JPG/330px-Jan_Kukal_2013.JPG
Barry Phillips Moore,AUS,1970,12,7,0,0,https://upload.wikimedia.org/wikipedia/commons/5/59/Barry_Phillips-Moore_1970.jpg
Tony Roche,AUS,1970,33,7,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/TONY_ROCHE.jpg/330px-TONY_ROCHE.jpg
Gerald Battrick,GBR,1970,9,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg/330px-Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg
Tom Okker,NED,1970,23,9,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Tom_Okker.jpg/330px-Tom_Okker.jpg
Dick Crealy,AUS,1970,27,17,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Dick_Crealy_portrait.png/330px-Dick_Crealy_portrait.png
Stan Smith,USA,1970,46,14,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Stan_Smith_2009_US_Open_01.jpg/330px-Stan_Smith_2009_US_Open_01.jpg
Nikola Pilic,CRO,1970,21,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nikola_Pili%C4%87_1975.jpg/330px-Nikola_Pili%C4%87_1975.jpg
Ray Ruffels,AUS,1970,22,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Australian_Institute_of_Sport_coaches_-_Ray_Ruffels.jpg/330px-Australian_Institute_of_Sport_coaches_-_Ray_Ruffels.jpg
Bill Bowrey,AUS,1970,7,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Bill_Bowrey.jpg/330px-Bill_Bowrey.jpg
Arthur Ashe,USA,1970,52,12,3,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Arthur_Ashe_%28cropped%29.jpg/330px-Arthur_Ashe_%28cropped%29.jpg
Dennis Ralston,USA,1970,27,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Top_Tennis_Toernooi_1969_in_Amsterdam_D._Ralston_%2C_aktie%2C_Bestanddeelnr_922-4467.jpg/330px-Top_Tennis_Toernooi_1969_in_Amsterdam_D._Ralston_%2C_aktie%2C_Bestanddeelnr_922-4467.jpg
Bob Carmichael,AUS,1970,30,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Bob_Carmichael.jpg/330px-Bob_Carmichael.jpg
John Newcombe,AUS,1970,34,8,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/John_Newcombe_1968.jpg/330px-John_Newcombe_1968.jpg
Ilie Nastase,ROU,1970,39,12,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Ilie_N%C4%83stase_2009_US_Open_02.jpg/330px-Ilie_N%C4%83stase_2009_US_Open_02.jpg
Andres Gimeno,ESP,1970,22,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Andr%C3%A9s_Gimeno%2C_Bestanddeelnr_922-4574_%28cropped%29.jpg/330px-Andr%C3%A9s_Gimeno%2C_Bestanddeelnr_922-4574_%28cropped%29.jpg
Ken Rosewall,AUS,1970,39,11,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Ken_Rosewall_portrait.jpg/330px-Ken_Rosewall_portrait.jpg
Premjit Lall,IND,1970,8,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Premjit_Lall_%281965%29.jpg/330px-Premjit_Lall_%281965%29.jpg
Torben Ulrich,DEN,1970,7,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Torben_Ulrich_1957.jpg/330px-Torben_Ulrich_1957.jpg
Manuel Santana,ESP,1970,22,5,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/MSantana.jpg/330px-MSantana.jpg
Ismail El Shafei,EGY,1970,9,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Isamil_El_Shafei.jpg/330px-Isamil_El_Shafei.jpg
Jan Kodes,CZE,1970,41,21,1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jan_Kode%C5%A1.JPG/330px-Jan_Kode%C5%A1.JPG
Cliff Richey,USA,1970,49,12,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cliff_Richey_1972.jpg/330px-Cliff_Richey_1972.jpg
Marty Riessen,USA,1970,22,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Marty_Riessen_1968.jpg/330px-Marty_Riessen_1968.jpg
Rod Laver,AUS,1970,51,6,7,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg/330px-Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg
Roy Emerson,AUS,1970,18,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Roy_Emerson_2011.jpg/330px-Roy_Emerson_2011.jpg
Jaime Fillol,CHI,1970,19,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Jaime_Fillol_%281973%29.jpg/330px-Jaime_Fillol_%281973%29.jpg
Ion Tiriac,ROU,1970,26,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Ion_Tiriac.jpg/330px-Ion_Tiriac.jpg
Thomaz Koch,BRA,1970,13,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Thomaz_Koch.jpg/330px-Thomaz_Koch.jpg
Zeljko Franulovic,CRO,1970,50,17,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Franulovic_%28Joegoslavi%C3%AB%29_in_aktie%2C_Bestanddeelnr_928-0573.jpg/330px-Franulovic_%28Joegoslavi%C3%AB%29_in_aktie%2C_Bestanddeelnr_928-0573.jpg
Charlie Pasarell,USA,1970,18,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Charlie_Pasarell_in_Over_35s_Doubles_Wimbledon_1985.jpg/330px-Charlie_Pasarell_in_Over_35s_Doubles_Wimbledon_1985.jpg
Cliff Drysdale,RSA,1970,21,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/CliffDrysdale_%28cropped%29.jpg/330px-CliffDrysdale_%28cropped%29.jpg
Onny Parun,NZL,1970,8,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Onny_Parun.jpg/330px-Onny_Parun.jpg
Bob Hewitt,RSA,1970,16,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bob_Hewitt_%281967%29.jpg/330px-Bob_Hewitt_%281967%29.jpg
Francois Jauffret,FRA,1970,16,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jaciffret_in_aktie%2C_Bestanddeelnr_928-0518.jpg/330px-Jaciffret_in_aktie%2C_Bestanddeelnr_928-0518.jpg
Lew Hoad,AUS,1970,9,6,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lew_Hoad_1954_Davis_Cup.jpg/330px-Lew_Hoad_1954_Davis_Cup.jpg
Manuel Orantes,ESP,1970,28,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Manuel_Orantes_c1974.jpg/330px-Manuel_Orantes_c1974.jpg
Istvan Gulyas,HUN,1970,13,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Istv%C3%A1n_Guly%C3%A1s_%281964%29.jpg/330px-Istv%C3%A1n_Guly%C3%A1s_%281964%29.jpg
Owen Davidson,AUS,1970,9,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Owen_Davidson.jpg/330px-Owen_Davidson.jpg
Pierre Barthes,FRA,1970,10,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pierre_Barth%C3%A8s_%281974%29.jpg/330px-Pierre_Barth%C3%A8s_%281974%29.jpg
Wilhelm Bungert,GER,1970,15,7,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wilhelm_Bungert_1965.jpg/330px-Wilhelm_Bungert_1965.jpg
Cliff Richey,USA,1971,52,20,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cliff_Richey_1972.jpg/330px-Cliff_Richey_1972.jpg
Gerald Battrick,GBR,1971,23,14,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg/330px-Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg
Martin Mulligan,AUS,1971,8,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Martin_Mulligan_1968.jpg/330px-Martin_Mulligan_1968.jpg
Thomaz Koch,BRA,1971,25,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Thomaz_Koch.jpg/330px-Thomaz_Koch.jpg
Zeljko Franulovic,CRO,1971,61,27,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Franulovic_%28Joegoslavi%C3%AB%29_in_aktie%2C_Bestanddeelnr_928-0573.jpg/330px-Franulovic_%28Joegoslavi%C3%AB%29_in_aktie%2C_Bestanddeelnr_928-0573.jpg
Erik Van Dillen,USA,1971,14,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Erik_Van_Dillen.jpg/330px-Erik_Van_Dillen.jpg
Jaime Fillol,CHI,1971,37,19,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Jaime_Fillol_%281973%29.jpg/330px-Jaime_Fillol_%281973%29.jpg
Jan Kodes,CZE,1971,54,24,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jan_Kode%C5%A1.JPG/330px-Jan_Kode%C5%A1.JPG
Ion Tiriac,ROU,1971,27,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Ion_Tiriac.jpg/330px-Ion_Tiriac.jpg
Alejandro Olmedo,PER,1971,12,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tenniskampioenschappen_in_Noordwijk%2C_Alex_Olmedo_%28Amerika%29%2C_Bestanddeelnr_916-7880.jpg/330px-Tenniskampioenschappen_in_Noordwijk%2C_Alex_Olmedo_%28Amerika%29%2C_Bestanddeelnr_916-7880.jpg
Jimmy Connors,USA,1971,20,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Jimmy_Conners_1994.jpg/330px-Jimmy_Conners_1994.jpg
Roscoe Tanner,USA,1971,16,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Roscoe_Tanner.jpg/330px-Roscoe_Tanner.jpg
Manuel Orantes,ESP,1971,31,16,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Manuel_Orantes_c1974.jpg/330px-Manuel_Orantes_c1974.jpg
Mike Belkin,CAN,1971,13,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Tennis_Nederland_tegen_Canada_voor_de_Davis_Cup_te_Scheveningen_Canadese_kampioe%2C_Bestanddeelnr_922-3990.jpg/330px-Tennis_Nederland_tegen_Canada_voor_de_Davis_Cup_te_Scheveningen_Canadese_kampioe%2C_Bestanddeelnr_922-3990.jpg
Ilie Nastase,ROU,1971,78,13,7,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Ilie_N%C4%83stase_2009_US_Open_02.jpg/330px-Ilie_N%C4%83stase_2009_US_Open_02.jpg
John Newcombe,AUS,1971,63,14,7,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/John_Newcombe_1968.jpg/330px-John_Newcombe_1968.jpg
Charlie Pasarell,USA,1971,22,28,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Charlie_Pasarell_in_Over_35s_Doubles_Wimbledon_1985.jpg/330px-Charlie_Pasarell_in_Over_35s_Doubles_Wimbledon_1985.jpg
Tony Roche,AUS,1971,14,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/TONY_ROCHE.jpg/330px-TONY_ROCHE.jpg
Owen Davidson,AUS,1971,16,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Owen_Davidson.jpg/330px-Owen_Davidson.jpg
Bill Bowrey,AUS,1971,17,31,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Bill_Bowrey.jpg/330px-Bill_Bowrey.jpg
Rod Laver,AUS,1971,68,21,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg/330px-Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg
