name,team_abbr,season_year,position,appearances,goals,assists,clean_sheets,headshot
Pepe Reina,LIV,2008,GK,38,0,0,18,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/4d6f5a15b462f64c3d50.jpg
Edwin van der Sar,MUN,2009,GK,33,0,0,21,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/aedd9c392e0535c12e3e.jpg
Petr Cech,CHE,2010,GK,34,0,0,17,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/c19fd91ef2f23508d86d.jpg
Joe Hart,MCI,2011,GK,38,0,0,18,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/cc8985685cc0b3321bad.jpg
Joe Hart,MCI,2012,GK,38,0,0,17,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/cc8985685cc0b3321bad.jpg
Joe Hart,MCI,2013,GK,38,0,0,18,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/cc8985685cc0b3321bad.jpg
Wojciech Szczesny,ARS,2014,GK,37,0,0,16,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/8cee3e6c316ad84fd0f8.png
Joe Hart,MCI,2015,GK,36,0,0,14,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/cc8985685cc0b3321bad.jpg
Petr Cech,ARS,2016,GK,34,0,0,16,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/c19fd91ef2f23508d86d.jpg
Thibaut Courtois,CHE,2017,GK,36,0,0,16,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/fdb3f78c7ce459dd085c.jpg
David Raya,ARS,2024,GK,32,0,0,16,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/82711ce97ae890360437.jpg
David Raya,ARS,2026,GK,37,0,0,19,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/82711ce97ae890360437.jpg
John Terry,CHE,2005,DF,36,3,0,25,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/43feb232565472adaaf9.jpg
