name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Mary Ann Eisel,USA,1968,47,25,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Mary-Ann_Eisel_1968.jpg/330px-Mary-Ann_Eisel_1968.jpg
Kerry Reid,AUS,1968,29,10,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Kerry_Melville_1970.jpg/330px-Kerry_Melville_1970.jpg
Astrid Suurbeek,NED,1968,11,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Astrid_Suurbeek_%281967%29.jpg/330px-Astrid_Suurbeek_%281967%29.jpg
Billie Jean King,USA,1968,50,8,10,2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg/330px-Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg
Francoise Durr,FRA,1968,21,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg/330px-Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg
Anna Dmitrieva,URS,1968,14,8,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/DmitrievaAV.jpg/330px-DmitrievaAV.jpg
Birgitta Lindstrom,FIN,1968,11,7,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Birgitta-Lindstrom-Bengt-Aberg-1965.jpeg/330px-Birgitta-Lindstrom-Bengt-Aberg-1965.jpeg
Kazuko Sawamatsu,JPN,1968,9,7,2,0,https://upload.wikimedia.org/wikipedia/commons/e/e7/Kazuko_Yoshida.jpg
Annette Van Zyl,RSA,1968,51,13,6,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Annette_Van_Zyl.jpg/330px-Annette_Van_Zyl.jpg
Ingrid Bentzer,SWE,1968,9,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Internationale_tenniskampioenschappen_Melkhuisje_nr_14%2C_Ingrid_Bentzer_in_acti%2C_Bestanddeelnr_927-3332.jpg/330px-Internationale_tenniskampioenschappen_Melkhuisje_nr_14%2C_Ingrid_Bentzer_in_acti%2C_Bestanddeelnr_927-3332.jpg
Ingrid Loeys,BEL,1968,7,13,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Ingrid_Loeys_in_actie%2C_Bestanddeelnr_921-6420.jpg/330px-Ingrid_Loeys_in_actie%2C_Bestanddeelnr_921-6420.jpg
Maryna Godwin,RSA,1968,32,20,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Maryna_Godwin_1969.jpg/330px-Maryna_Godwin_1969.jpg
Lea Pericoli,ITA,1968,9,7,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lea_Pericoli_1974.jpg/330px-Lea_Pericoli_1974.jpg
Evelyne Terras,FRA,1968,14,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/EvelyneTerras.jpg/330px-EvelyneTerras.jpg
Patricia Walkden,RSA,1968,48,23,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pat_Walkden_%281965%29.jpg/330px-Pat_Walkden_%281965%29.jpg
Maria Bueno,BRA,1968,36,8,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Maria_Bueno_2016.jpg/330px-Maria_Bueno_2016.jpg
Lidy Venneboer,NED,1968,7,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Nationaal_Tenniskampioenschappen_te_Scheveningen._Mejuffrouw_L._Jansen_Venneboer%2C_Bestanddeelnr_920-5807_%28cropped%29.jpg/330px-Nationaal_Tenniskampioenschappen_te_Scheveningen._Mejuffrouw_L._Jansen_Venneboer%2C_Bestanddeelnr_920-5807_%28cropped%29.jpg
Marijke Jansen,NED,1968,15,9,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Marijke_Schaar_1971.jpg/330px-Marijke_Schaar_1971.jpg
Maria Teresa Riedl,ITA,1968,11,7,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Maria_Teresa_Riedl_1970.jpg/330px-Maria_Teresa_Riedl_1970.jpg
Linda Tuero,USA,1968,29,10,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Linda_tuero_action_photo.jpg/330px-Linda_tuero_action_photo.jpg
Carole Graebner,USA,1968,11,7,0,0,https://upload.wikimedia.org/wikipedia/commons/1/13/Carole_Caldwell-Graebner_-_USA_Fed_Cup_1966_Turin.jpg
Pam Teeguarden,USA,1968,12,17,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Pam_Teeguarden_in_Ted_Dress.jpg/330px-Pam_Teeguarden_in_Ted_Dress.jpg
Almut Sturm,GER,1968,17,13,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Tennis_Nederland_tegen_Duitsland_te_Velp_sportpark_Beekhuizen%2C_Trudy_Groenman_%2C_Bestanddeelnr_918-1407.jpg/330px-Tennis_Nederland_tegen_Duitsland_te_Velp_sportpark_Beekhuizen%2C_Trudy_Groenman_%2C_Bestanddeelnr_918-1407.jpg
Peggy Michel,USA,1968,12,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Peggy_Michel%2C_1965.jpg/330px-Peggy_Michel%2C_1965.jpg
Maria Teresa Nasuelli,ITA,1968,7,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Canzonissima_1972_-_Anna-Maria_Nasuelli.png/330px-Canzonissima_1972_-_Anna-Maria_Nasuelli.png
Billie Jean King,USA,1969,70,15,11,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg/330px-Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg
Evonne Goolagong,AUS,1969,18,8,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Evonne_Cawley_1973.jpg/330px-Evonne_Cawley_1973.jpg
Karen Krantzcke,AUS,1969,66,29,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg/330px-K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg
Kerry Harris,AUS,1969,37,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kerry_Harris_1969.jpg/330px-Kerry_Harris_1969.jpg
Francoise Durr,FRA,1969,38,26,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg/330px-Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg
Judy Tegart,AUS,1969,54,21,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Judy_Tegart_%281965%29.jpg/330px-Judy_Tegart_%281965%29.jpg
Kerry Reid,AUS,1969,68,23,6,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Kerry_Melville_1970.jpg/330px-Kerry_Melville_1970.jpg
Rosie Casals,USA,1969,47,24,1,0,https://upload.wikimedia.org/wikipedia/commons/a/a2/Rosie_Casals_1981_%28cropped%29.jpeg
Margaret Court,AUS,1969,106,6,19,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Margaret_Court.png/330px-Margaret_Court.png
Maria Teresa Nasuelli,ITA,1969,14,8,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Canzonissima_1972_-_Anna-Maria_Nasuelli.png/330px-Canzonissima_1972_-_Anna-Maria_Nasuelli.png
Maryna Godwin,RSA,1969,24,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Maryna_Godwin_1969.jpg/330px-Maryna_Godwin_1969.jpg
Kazuko Sawamatsu,JPN,1969,16,8,1,0,https://upload.wikimedia.org/wikipedia/commons/e/e7/Kazuko_Yoshida.jpg
Valerie Ziegenfuss,USA,1969,28,25,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Valerie_Ziegenfuss_1973.jpg/330px-Valerie_Ziegenfuss_1973.jpg
Katja Ebbinghaus,FRG,1969,10,9,0,0,https://upload.wikimedia.org/wikipedia/commons/e/e8/Katja_Ebbinghaus_1971_crop.jpg
Rosie Reyes,FRA,1969,6,9,1,0,https://upload.wikimedia.org/wikipedia/en/0/0c/Rosie_Reyes_nf_cropped.jpg
Evelyne Terras,FRA,1969,6,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/EvelyneTerras.jpg/330px-EvelyneTerras.jpg
Ingrid Loeys,BEL,1969,8,11,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Ingrid_Loeys_in_actie%2C_Bestanddeelnr_921-6420.jpg/330px-Ingrid_Loeys_in_actie%2C_Bestanddeelnr_921-6420.jpg
Linda Tuero,USA,1969,33,16,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Linda_tuero_action_photo.jpg/330px-Linda_tuero_action_photo.jpg
Julie Heldman,USA,1969,79,18,8,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Julie_Heldman_1969.jpg/330px-Julie_Heldman_1969.jpg
Judith Salome,NED,1969,10,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Judith_Salome_1967b.jpg/330px-Judith_Salome_1967b.jpg
Lea Pericoli,ITA,1969,16,8,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lea_Pericoli_1974.jpg/330px-Lea_Pericoli_1974.jpg
Patricia Walkden,RSA,1969,54,18,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pat_Walkden_%281965%29.jpg/330px-Pat_Walkden_%281965%29.jpg
Peggy Michel,USA,1969,11,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Peggy_Michel%2C_1965.jpg/330px-Peggy_Michel%2C_1965.jpg
Marijke Jansen,NED,1969,17,10,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Marijke_Schaar_1971.jpg/330px-Marijke_Schaar_1971.jpg
Pam Teeguarden,USA,1969,5,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Pam_Teeguarden_in_Ted_Dress.jpg/330px-Pam_Teeguarden_in_Ted_Dress.jpg
Mary Ann Eisel,USA,1969,54,23,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Mary-Ann_Eisel_1968.jpg/330px-Mary-Ann_Eisel_1968.jpg
Astrid Suurbeek,NED,1969,5,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Astrid_Suurbeek_%281967%29.jpg/330px-Astrid_Suurbeek_%281967%29.jpg
Betty Stove,NED,1969,31,16,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Betty_Stove_1966.jpg/330px-Betty_Stove_1966.jpg
Ada Bakker,NED,1969,8,11,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ada_Bakker_1968.jpg/330px-Ada_Bakker_1968.jpg
Almut Sturm,GER,1969,15,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Tennis_Nederland_tegen_Duitsland_te_Velp_sportpark_Beekhuizen%2C_Trudy_Groenman_%2C_Bestanddeelnr_918-1407.jpg/330px-Tennis_Nederland_tegen_Duitsland_te_Velp_sportpark_Beekhuizen%2C_Trudy_Groenman_%2C_Bestanddeelnr_918-1407.jpg
Helga Masthoff,FRG,1969,48,13,10,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Helga_Niessen-Masthoff_1965.jpg/330px-Helga_Niessen-Masthoff_1965.jpg
Annette Van Zyl,RSA,1969,16,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Annette_Van_Zyl.jpg/330px-Annette_Van_Zyl.jpg
Edda Buding,FRG,1969,10,5,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Tennis_at_Hilversum%2C_ladies_singles_finalist_miss_E._Buding_%28Germany%29.jpg/330px-Tennis_at_Hilversum%2C_ladies_singles_finalist_miss_E._Buding_%28Germany%29.jpg
Margaret Court,AUS,1970,116,6,22,4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Margaret_Court.png/330px-Margaret_Court.png
Kerry Harris,AUS,1970,11,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kerry_Harris_1969.jpg/330px-Kerry_Harris_1969.jpg
Evonne Goolagong,AUS,1970,85,19,15,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Evonne_Cawley_1973.jpg/330px-Evonne_Cawley_1973.jpg
Karen Krantzcke,AUS,1970,50,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg/330px-K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg
Judy Tegart,AUS,1970,49,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Judy_Tegart_%281965%29.jpg/330px-Judy_Tegart_%281965%29.jpg
Kerry Reid,AUS,1970,77,26,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Kerry_Melville_1970.jpg/330px-Kerry_Melville_1970.jpg
Peggy Michel,USA,1970,11,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Peggy_Michel%2C_1965.jpg/330px-Peggy_Michel%2C_1965.jpg
Rosie Casals,USA,1970,52,22,3,0,https://upload.wikimedia.org/wikipedia/commons/a/a2/Rosie_Casals_1981_%28cropped%29.jpeg
Kathleen Harter,USA,1970,25,24,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Kathleen_Harter_%281966%29_%28cropped%29.jpg/330px-Kathleen_Harter_%281966%29_%28cropped%29.jpg
Maria Teresa Nasuelli,ITA,1970,9,16,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Canzonissima_1972_-_Anna-Maria_Nasuelli.png/330px-Canzonissima_1972_-_Anna-Maria_Nasuelli.png
Patricia Walkden,RSA,1970,49,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pat_Walkden_%281965%29.jpg/330px-Pat_Walkden_%281965%29.jpg
Mary Ann Eisel,USA,1970,33,20,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Mary-Ann_Eisel_1968.jpg/330px-Mary-Ann_Eisel_1968.jpg
Francoise Durr,FRA,1970,49,27,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg/330px-Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg
Valerie Ziegenfuss,USA,1970,40,28,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Valerie_Ziegenfuss_1973.jpg/330px-Valerie_Ziegenfuss_1973.jpg
Trudy Groenman,NED,1970,8,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Trudy_Groenman_1964.jpg/330px-Trudy_Groenman_1964.jpg
Julie Heldman,USA,1970,32,13,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Julie_Heldman_1969.jpg/330px-Julie_Heldman_1969.jpg
Annette Van Zyl,RSA,1970,14,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Annette_Van_Zyl.jpg/330px-Annette_Van_Zyl.jpg
Helga Masthoff,FRG,1970,56,14,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Helga_Niessen-Masthoff_1965.jpg/330px-Helga_Niessen-Masthoff_1965.jpg
Ada Bakker,NED,1970,6,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ada_Bakker_1968.jpg/330px-Ada_Bakker_1968.jpg
Pam Teeguarden,USA,1970,22,20,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Pam_Teeguarden_in_Ted_Dress.jpg/330px-Pam_Teeguarden_in_Ted_Dress.jpg
Kazuko Sawamatsu,JPN,1970,20,9,1,0,https://upload.wikimedia.org/wikipedia/commons/e/e7/Kazuko_Yoshida.jpg
Lea Pericoli,ITA,1970,12,7,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lea_Pericoli_1974.jpg/330px-Lea_Pericoli_1974.jpg
Carole Graebner,USA,1970,12,9,0,0,https://upload.wikimedia.org/wikipedia/commons/1/13/Carole_Caldwell-Graebner_-_USA_Fed_Cup_1966_Turin.jpg
Marijke Jansen,NED,1970,20,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Marijke_Schaar_1971.jpg/330px-Marijke_Schaar_1971.jpg
Betty Stove,NED,1970,23,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Betty_Stove_1966.jpg/330px-Betty_Stove_1966.jpg
Billie Jean King,USA,1970,50,11,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg/330px-Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg
Linda Tuero,USA,1970,22,6,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Linda_tuero_action_photo.jpg/330px-Linda_tuero_action_photo.jpg
Judith Salome,NED,1970,8,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Judith_Salome_1967b.jpg/330px-Judith_Salome_1967b.jpg
Almut Sturm,GER,1970,5,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Tennis_Nederland_tegen_Duitsland_te_Velp_sportpark_Beekhuizen%2C_Trudy_Groenman_%2C_Bestanddeelnr_918-1407.jpg/330px-Tennis_Nederland_tegen_Duitsland_te_Velp_sportpark_Beekhuizen%2C_Trudy_Groenman_%2C_Bestanddeelnr_918-1407.jpg
Chris Evert,USA,1970,14,4,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Chris_Evert.jpg/330px-Chris_Evert.jpg
Kerry Harris,AUS,1971,32,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kerry_Harris_1969.jpg/330px-Kerry_Harris_1969.jpg
Margaret Court,AUS,1971,59,4,9,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Margaret_Court.png/330px-Margaret_Court.png
Evonne Goolagong,AUS,1971,96,16,13,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Evonne_Cawley_1973.jpg/330px-Evonne_Cawley_1973.jpg
Linda Tuero,USA,1971,23,13,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Linda_tuero_action_photo.jpg/330px-Linda_tuero_action_photo.jpg
Ingrid Bentzer,SWE,1971,9,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Internationale_tenniskampioenschappen_Melkhuisje_nr_14%2C_Ingrid_Bentzer_in_acti%2C_Bestanddeelnr_927-3332.jpg/330px-Internationale_tenniskampioenschappen_Melkhuisje_nr_14%2C_Ingrid_Bentzer_in_acti%2C_Bestanddeelnr_927-3332.jpg
Maria Teresa Nasuelli,ITA,1971,9,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Canzonissima_1972_-_Anna-Maria_Nasuelli.png/330px-Canzonissima_1972_-_Anna-Maria_Nasuelli.png
Julie Heldman,USA,1971,41,24,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Julie_Heldman_1969.jpg/330px-Julie_Heldman_1969.jpg
Marijke Jansen,NED,1971,16,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Marijke_Schaar_1971.jpg/330px-Marijke_Schaar_1971.jpg
Trudy Groenman,NED,1971,21,13,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Trudy_Groenman_1964.jpg/330px-Trudy_Groenman_1964.jpg
Lea Pericoli,ITA,1971,9,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lea_Pericoli_1974.jpg/330px-Lea_Pericoli_1974.jpg
Francoise Durr,FRA,1971,86,36,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg/330px-Tennis_at_Hilversum%2C_ladies_singles_miss_F._Durr_%28France%29_with_trophy.jpg
Valerie Ziegenfuss,USA,1971,24,29,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Valerie_Ziegenfuss_1973.jpg/330px-Valerie_Ziegenfuss_1973.jpg
Betty Stove,NED,1971,56,31,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Betty_Stove_1966.jpg/330px-Betty_Stove_1966.jpg
Helga Masthoff,FRG,1971,42,9,8,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Helga_Niessen-Masthoff_1965.jpg/330px-Helga_Niessen-Masthoff_1965.jpg
Katja Ebbinghaus,FRG,1971,10,10,0,0,https://upload.wikimedia.org/wikipedia/commons/e/e8/Katja_Ebbinghaus_1971_crop.jpg
Kazuko Sawamatsu,JPN,1971,18,10,1,0,https://upload.wikimedia.org/wikipedia/commons/e/e7/Kazuko_Yoshida.jpg
Pam Teeguarden,USA,1971,17,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Pam_Teeguarden_in_Ted_Dress.jpg/330px-Pam_Teeguarden_in_Ted_Dress.jpg
Kerry Reid,AUS,1971,55,27,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Kerry_Melville_1970.jpg/330px-Kerry_Melville_1970.jpg
Rosie Casals,USA,1971,92,31,3,0,https://upload.wikimedia.org/wikipedia/commons/a/a2/Rosie_Casals_1981_%28cropped%29.jpeg
Mary Ann Eisel,USA,1971,26,19,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Mary-Ann_Eisel_1968.jpg/330px-Mary-Ann_Eisel_1968.jpg
Judy Tegart,AUS,1971,55,32,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Judy_Tegart_%281965%29.jpg/330px-Judy_Tegart_%281965%29.jpg
Billie Jean King,USA,1971,114,15,17,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg/330px-Billie_Jean_King_at_the_2026_Sundance_Film_Festival_02_%28crop_2%29.jpg
Chris Evert,USA,1971,30,2,7,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Chris_Evert.jpg/330px-Chris_Evert.jpg
Karen Krantzcke,AUS,1971,3,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg/330px-K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg
Evonne Goolagong,AUS,1972,93,11,12,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Evonne_Cawley_1973.jpg/330px-Evonne_Cawley_1973.jpg
Mona Guerrant,USA,1972,28,22,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Anne_Guerrant_2012.jpg/330px-Anne_Guerrant_2012.jpg
Kerry Harris,AUS,1972,21,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kerry_Harris_1969.jpg/330px-Kerry_Harris_1969.jpg
Karen Krantzcke,AUS,1972,40,27,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg/330px-K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg
Chris Evert,USA,1972,49,8,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Chris_Evert.jpg/330px-Chris_Evert.jpg
Valerie Ziegenfuss,USA,1972,30,26,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Valerie_Ziegenfuss_1973.jpg/330px-Valerie_Ziegenfuss_1973.jpg
Katja Ebbinghaus,FRG,1972,25,13,2,0,https://upload.wikimedia.org/wikipedia/commons/e/e8/Katja_Ebbinghaus_1971_crop.jpg
Kerry Reid,AUS,1972,60,25,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Kerry_Melville_1970.jpg/330px-Kerry_Melville_1970.jpg
Linda Tuero,USA,1972,48,16,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Linda_tuero_action_photo.jpg/330px-Linda_tuero_action_photo.jpg
Pam Teeguarden,USA,1972,31,25,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Pam_Teeguarden_in_Ted_Dress.jpg/330px-Pam_Teeguarden_in_Ted_Dress.jpg
Betty Stove,NED,1972,48,26,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Betty_Stove_1966.jpg/330px-Betty_Stove_1966.jpg
Rosie Casals,USA,1972,64,26,3,0,https://upload.wikimedia.org/wikipedia/commons/a/a2/Rosie_Casals_1981_%28cropped%29.jpeg
